obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('0',)",3722915103,8,3.643270016,3742914149,3742914150,3722915103,0,internal_timestamp,74.86199951,1513926303,33.1283989,1,10.16020012,1025.807725,29,13,29,13,29,29,29,29,29,29,44.64102,-124.30216
"('1',)",3722915103,8,3.643260002,3742914149,3742914150,3722915103,0,internal_timestamp,74.86299896,1513926303,33.12829971,0,10.16020012,1025.807653,29,13,29,13,29,29,29,29,29,29,44.64102,-124.30216
"('2',)",3722915103,8,3.643759966,3742914149,3742914150,3722915103,0,internal_timestamp,74.85900116,1513926303,33.13349915,0,10.15999985,1025.811722,29,13,29,13,29,29,29,29,29,29,44.64102,-124.30216
"('3',)",3722915103,8,3.643270016,3742914149,3742914150,3722915103,0,internal_timestamp,74.86199951,1513926303,33.1283989,0,10.16020012,1025.807725,29,13,29,13,29,29,29,29,29,29,44.64102,-124.30216
"('4',)",3722915103,8,3.643260002,3742914149,3742914150,3722915103,0,internal_timestamp,74.86299896,1513926303,33.1283989,0,10.15999985,1025.807764,29,13,29,13,29,29,29,29,29,29,44.64102,-124.30216
"('5',)",3722915103,8,3.644900084,3742914149,3742914150,3722915103,0,internal_timestamp,74.85600281,1513926303,33.14500046,0,10.15999985,1025.820675,29,13,29,13,29,29,29,29,29,29,44.64102,-124.30216
"('6',)",3722915103,8,3.645119905,3742914149,3742914150,3722915103,0,internal_timestamp,74.86000061,1513926303,33.14699936,0,10.16020012,1025.822217,29,13,29,13,29,29,29,29,29,29,44.64102,-124.30216
"('7',)",3722915103,8,3.643870115,3742914149,3742914150,3722915103,0,internal_timestamp,74.85900116,1513926303,33.13460159,0,10.15999985,1025.812581,29,13,29,13,29,29,29,29,29,29,44.64102,-124.30216
"('8',)",3722915103,8,3.644249916,3742914149,3742914150,3722915103,0,internal_timestamp,74.85700226,1513926303,33.13840103,0,10.15999985,1025.815534,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('9',)",3722915103,8,3.644609928,3742914149,3742914150,3722915103,0,internal_timestamp,74.85800171,1513926303,33.14199829,0,10.16009998,1025.818326,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('10',)",3722915103,8,3.644880056,3742914149,3742914150,3722915103,0,internal_timestamp,74.85600281,1513926303,33.14459991,0,10.16020012,1025.820328,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('11',)",3722915103,8,3.645050049,3742914149,3742914150,3722915103,0,internal_timestamp,74.86000061,1513926303,33.14619827,0,10.16030025,1025.821576,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('12',)",3722915103,8,3.645169973,3742914149,3742914150,3722915103,0,internal_timestamp,74.86199951,1513926303,33.14730072,0,10.16040039,1025.822427,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('13',)",3722915103,8,3.645220041,3742914149,3742914150,3722915103,0,internal_timestamp,74.85700226,1513926303,33.14789963,0,10.16040039,1025.822871,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('14',)",3722915104,8,3.645240068,3742914149,3742914150,3722915104,0,internal_timestamp,74.86000061,1513926304,33.14799881,0,10.16049957,1025.822945,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('15',)",3722915104,8,3.645250082,3742914149,3742914150,3722915104,0,internal_timestamp,74.85800171,1513926304,33.14810181,0,10.16049957,1025.823017,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('16',)",3722915104,8,3.645270109,3742914149,3742914150,3722915104,0,internal_timestamp,74.86199951,1513926304,33.14830017,0,10.16049957,1025.823189,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('17',)",3722915104,8,3.645279884,3742914149,3742914150,3722915104,0,internal_timestamp,74.85800171,1513926304,33.14839935,0,10.16049957,1025.823248,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('18',)",3722915104,8,3.645299912,3742914149,3742914150,3722915104,0,internal_timestamp,74.86000061,1513926304,33.14860153,0,10.16049957,1025.823415,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('19',)",3722915104,8,3.645319939,3742914149,3742914150,3722915104,0,internal_timestamp,74.86000061,1513926304,33.1487999,0,10.16049957,1025.82357,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('20',)",3722915104,8,3.645329952,3742914149,3742914150,3722915104,0,internal_timestamp,74.86000061,1513926304,33.14889908,0,10.16059971,1025.82363,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('21',)",3722915104,8,3.645339966,3742914149,3742914150,3722915104,0,internal_timestamp,74.85800171,1513926304,33.14889908,0,10.16059971,1025.823621,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('22',)",3722915104,8,3.645339966,3742914149,3742914150,3722915104,0,internal_timestamp,74.86000061,1513926304,33.14899826,0,10.16059971,1025.823707,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('23',)",3722915104,8,3.645349979,3742914149,3742914150,3722915104,0,internal_timestamp,74.85800171,1513926304,33.14899826,0,10.16059971,1025.823698,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('24',)",3722915104,8,3.645359993,3742914149,3742914150,3722915104,0,internal_timestamp,74.86199951,1513926304,33.14910126,0,10.16049957,1025.823814,29,13,29,13,29,29,29,13,29,13,44.64102,-124.30216
"('25',)",3722915105,8,3.645349979,3742914149,3742914150,3722915105,0,internal_timestamp,74.86399841,1513926305,33.14910126,0,10.16049957,1025.823823,29,13,29,13,29,29,29,13,29,13,44.64102,-124.30216
"('26',)",3722915105,8,3.645359993,3742914149,3742914150,3722915105,0,internal_timestamp,74.86499786,1513926305,33.14920044,0,10.16049957,1025.823905,29,13,29,13,29,29,29,13,29,13,44.64102,-124.30216
"('27',)",3722915105,8,3.645370007,3742914149,3742914150,3722915105,0,internal_timestamp,74.8690033,1513926305,33.14929962,0,10.16049957,1025.824,29,13,29,29,29,29,29,13,29,13,44.64102,-124.30216
"('28',)",3722915105,8,3.64538002,3742914149,3742914150,3722915105,0,internal_timestamp,74.87000275,1513926305,33.1495018,0,10.16040039,1025.824179,29,13,29,29,29,29,29,13,29,13,44.64102,-124.30216
